PRINT LIST,WEBSITE,Venues/Locations,Brewery,Beer Name,Style,ABV,Description,Untappd url,Limited Release?,Other Info,
Y,,Jackie O's Brewpub,Three Tigers Brewing,Juice Bazooka,Hazy IPA,7.1%,"Smooth, full bodied, and super juicy, this IPA was brewed with huge additions of Citra, Chinook and Mosaic hops",,,,
Y,,Jackie O's Brewpub,Three Tigers Brewing,Lonesome Suzie,Helles Lager,4.8%,"Traditional Helles style Lager is crisp, clean and balanced",,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Mystic,,,,,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Razz,,,,,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,O'Hooley's,,,,,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Ricky,,,,,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Homer's,,,,,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Bourbon Barrel Aged Dark Apparition,BA Imperial Stout,14.8%,"Seven malts were used to create deep flavors of coffee, chocolate, caramel, and molasses. A hint of bitterness and herbal character from carefully selected European and American hops help support the monolithic maltiness. After conditioning in stainless steel, the beer was transferred to into bourbon barrels. Dark Apparition waited patiently in oak barrels until the time was right to spring forth with its ghostly gusto. A truly decadent brew that is intended to be poured into your favorite snifter and given time to warm up from its dark and cool resting place.",,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Blueberry Lemon Vanilla Dinosaurs on TV,Craft Hard Seltzer,4.5%,"Real fruit Hard Seltzer made with blueberry, lemon and vanilla beans!",,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Brown Bag #1,Northeast IPA,7.0%,"Juiced up, limited release Northeastern IPA. Brewed with heaps of oats and wheat for a smooth and supple mouthfeel, then hopped with a ripe combination of Krush, Citra and Motueka hops. Bright notes of tropical citrus dazzle amongst the flavors of a whole fruit cornucopia. This is the first release of our ultra limited 'Brown Bag' series that pushes our boundaries with the way we make IPA, and is only available at Jackie O's locations. FAF Alert!!",,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Whole Lotta Colada,Fruited Hazy IPA,7.0%,The official beer of Ohio Brew Week! A Pina Colada inspired Hazy IPA fermented with pineapple puree and conditioned on flaked coconut and vanilla beans. Made in collaboration with OU's Chemistry 4501 Principles of Brewing class.,,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Pineapple Tangerine Ginger Perpetum,American Sour Ale,5.5%,"Our Houe Sour Wheat Ale refermented with pineapple, tangerine and ginger.",,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,The Wheated Man,BA Imperial Stout,15.1%,Wheated Imperial Stout aged in Bourbon barrels for 29 months,,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Sing to the Sun,Hazy IPA,6.5%,"Light and easy drinking Hazy IPA with tropical notes of mango, passionfruit and sweet tangerine",,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Hard Cider,Hard Cider,5.8%,"Craft Hard Cider made with apples from New York and Michigan. Smooth, approachable and easy drinking",,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Black Currant Perpetum,American Sour Ale,5.5%,House Sour Wheat Ale refermented with black currants.,,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Primary,Mixed Fermentation style Saison,5.5%,Mixed Fermentation style Saison aged in wine barrels.,,,,
Y,,Jackie O's Brewpub,Jackie O's Brewery,Ridgetop Radler,Radler style Lager,4.6%,Crispy lager with Rio Red grapefruit juice added.,,,,
Y,,Jackie O's Taproom,Combustion Brewery,Combustion IPA,India Pale Ale,6.5%,"Notes of vibrant tropical fruit, orange, mango, and lemon. Fresh, balanced, and highly drinkable.",,,,
Y,,Jackie O's Taproom,"Yellow Springs, Little Fish, Jackie O's",Honey Saison,Farmhouse Ale,5.0%,Collaborative Farmhouse Ale brewed with Ohio malts and Fermented with multiple varietals of Ohio Honey.,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Ricky,,,,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Mystic,,,,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Razz,,,,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Who Cooks,,,,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,O'Hooley's,,,,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Homer's Hazy,,,,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Gone Festin',Hard Ginger Beer,4.5%,Hard Ginger Beer style seltzer made with fruity pineapple and mango juice.,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Whole Lotta Colada,Fruited Hazy IPA,7.0%,The official beer of Ohio Brew Week! A Pina Colada inspired Hazy IPA fermented with pineapple puree and conditioned on flaked coconut and vanilla beans. Made in collaboration with OU's Chemistry 4501 Principles of Brewing class.,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Stroud's Shandy,Shandy style Lager,4.2%,Crisp lager blended with Pink Lemonade!,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,NY HopGuild 3Cone IPA,West Coast IPA,6.2%,A collaborative West Coast IPA brewed with New York grown Vista hops and the brand new experimental 3Cone hop. Come enjoy a pint with Chris from the HopGuild!,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Hard Cider,Hard Cider,5.8%,"Craft Hard Cider made with apples from New York and Michigan. Smooth, approachable and easy drinking",,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Bernarda,Mixed Fermentation style Saison,5.0%,"Slowly fermented with our house mixed fermentation saison culture, Bernarda’s restful transformation delivers deep yet delicate notes of tropical fruit and peppery yeast. Bernarda is named in tribute to Bernarda Bryson Shahn, a prolific artist from the New Deal era who was born in Athens, Ohio.",,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Pineapple Tangerine Ginger Perpetum,American Sour Ale,5.5%,"Our Houe Sour Wheat Ale refermented with pineapple, tangerine and ginger.",,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Bourbon Barrel Aged Dark Apparition,BA Imperial Stout,14.8%,"Seven malts were used to create deep flavors of coffee, chocolate, caramel, and molasses. A hint of bitterness and herbal character from carefully selected European and American hops help support the monolithic maltiness. After conditioning in stainless steel, the beer was transferred to into bourbon barrels. Dark Apparition waited patiently in oak barrels until the time was right to spring forth with its ghostly gusto. A truly decadent brew that is intended to be poured into your favorite snifter and given time to warm up from its dark and cool resting place.",,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Prodigality,BA Barleywine,13.7%,"Churning out complexity through time and heat. The solo grain, Maris Otter, brims the mash tun for a long soak. A portion of the first runnings were boiled and reduced, triggering the Maillard Reaction; through which, the vigorous heating of sugars adds a deeper color and flavor. Continuing on with an extended boil to increase said reaction. A prolonged nap of 20 months in bourbon barrels finishes off this luxurious prize. Indulge in Prodigality’s warm embrace with notes of burnt sugar, sweet prune, oak, and leather.",,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Temple of Minerva,BA Imperial Stout,14.5%,Extravagant Imperial Stout aged for 20 months in mixed bourbon barrels.,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Time Beyond Time,BA Barleywine,11.0%,This Barleywine was brewed from a single high quality English barley and a single high quality English hop with the addition of brown sugar added during the extended boil in the kettle. It was then aged in a blend of bourbon barrels for 21 months.,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Cherry Lime Dinosaurs on TV,Craft Hard Seltzer,4.5%,Real fruit Hard Seltzer made with Montmorency cherries and lime,,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,Blueberry Lemon Vanilla Dinosaurs on TV,Craft Hard Seltzer,4.5%,"Real fruit Hard Seltzer made with blueberry, lemon and vanilla beans!",,,,
Y,,Jackie O's Taproom,Jackie O's Brewery,3 Lines of Rotating Draft Cocktails,,,,,,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Maker of Things,Sour Red Ale,9.3%,Foeder & wine barrel-aged sour red ale,https://untappd.com/b/little-fish-brewing-company-maker-of-things/1650366,Yes,Bottles Available!,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Ohio Weizen,Hefeweizen,5.5%,Hefeweizen,https://untappd.com/b/little-fish-brewing-company-ohio-weizen/5988225,No,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Lil' Harvey's Milk Stout,Milk Stout,5.5%,"Milk Stout, on nitro",https://untappd.com/b/little-fish-brewing-company-lil-harvey-s-milk-stout/1154710,No,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Woodthrush,Farmhouse Ale,6.7%,"Amber farmhouse ale, lightly spiced",https://untappd.com/b/little-fish-brewing-company-woodthrush/1164839,No,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Spruce Crispy,Spruce Tip Lager,5.5%,"100% Ohio-Grown, Pale Lager with Spruce Tips",https://untappd.com/b/little-fish-brewing-company-spruce-crispy/6299173,Yes,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Guava Reinheitsgewhat!?,Tart Wheat Ale,4.2%,Quick-sour wheat ale with guava & spices,https://untappd.com/b/little-fish-brewing-company-guava-reinheitsgewhat/4835324,Yes,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Dear Science,Hazy IPA,6.7%,"Hazy IPA with Citra, Mosaic, and Sabro hops",https://untappd.com/b/little-fish-brewing-company-dear-science/4234967,No,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Karmanfest,Festbier,5.6%,Malty amber German lager,https://untappd.com/b/little-fish-brewing-company-karmanfest/1259165,No,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Ridge Runner Lil' Harvey's,Coffee Milk Stout,5.5%,"Milk Stout with coffee, on nitro",https://untappd.com/b/little-fish-brewing-company-ridge-runner-lil-harvey-s/2091817,No,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Abseil Pils,German Pilsner,5.5%,German-style pilsner,https://untappd.com/b/little-fish-brewing-company-abseil-pils/5563473,No,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Pescado Relajado,Mexican Lager,4.8%,Mexican Light Lager,https://untappd.com/b/little-fish-brewing-company-pescado-relajado/5420441,Yes,,
Y,,Little Fish Brewing Company,Little Fish x Sixth Sense,Saison du Sud,Saison,6.2%,Saison with sumac,https://untappd.com/b/little-fish-brewing-company-saison-du-sud/6755107,Yes,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Sylph,Cold IPA,6.50%,Cold IPA,https://untappd.com/b/little-fish-brewing-company-sylph/6446953,Yes,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Pinche Guey,Mexican Chocolate Imperial Stout,13.5%,Bourbon Barrel-aged Mexican Chocolate Imperial Stout,https://untappd.com/b/little-fish-brewing-company-pinche-guey-2026-blend-batch-4/6655658,Yes,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,"Appalachian Spontaneous Ale, Batch 2",Sour Blond Ale,7.3%,Spontaneously-fermented sour blond ale,https://untappd.com/b/little-fish-brewing-company-appalachian-spontaneous-ale-batch-2/6590789,Yes,Bottles Available!,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Soft Distortion,Hazy IPA,6.7%,Hazy IPA with Strata & Nectaron hops,https://untappd.com/b/little-fish-brewing-company-soft-distortion/6708546,Yes,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Safari Flaps,Hazy IPA,6.7%,Hazy IPA with Citra & Azacca hops,https://untappd.com/b/little-fish-brewing-company-safari-flaps/4475695,Yes,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Kalsarikannit,Baltic Porter,8.5%,Baltic Porter,https://untappd.com/b/little-fish-brewing-company-kalsarikannit/2023579,Yes,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Untamed Shrew,Spiced Brown Ale,6.0%,"Brown ale with sorghum molasses, spicebush, ginger, and pink peppercorn",https://untappd.com/b/little-fish-brewing-company-untamed-shrew/6622522,Yes,,
y,,Little Fish Brewing Company,Sixth Sense x Little Fish,Appalachian Iron,Smoked Amber Lager,5.0%,Cherrywood-smoked amber lager,https://untappd.com/b/sixth-sense-brewing-appalachian-iron/6741008,Yes,,
y,,Little Fish Brewing Company,Little Fish x Wooly Pig,(To Be Named),Smoked Blond Lager,6.1%,Mulberry wood-smoked blond lager,,Yes,,
y,,Little Fish Brewing Company,Yellow Springs x Little Fish,(To Be Named),Saison,,Saison with Ohio honey,,Yes,,
y,,Little Fish Brewing Company,Seventh Son x Little Fish,Metaphysical Graffiti,Vegan Milkshake IPA,7.7%,Hazy IPA with pineapple juice & vanilla,https://untappd.com/b/seventh-son-brewing-company-metaphysical-graffiti/3774091,Yes,,
Y,,Little Fish Brewing Company,Little Fish Brewing Company,Moonville Stout - 2026 Blend,Imperial Stout,16.4%,Bourbon Barrel-aged Imperial Stout,https://untappd.com/b/little-fish-brewing-company-moonville-stout-2026-blend/6755122,Yes,Bottles Available!,
y,,Little Fish Brewing Company,Little Fish Brewing Company,Everett's Ale,Extra Pale Ale,5.2%,Pale ale with Mosaic hops,https://untappd.com/b/little-fish-brewing-company-everett-s-pale-ale/2170992,Yes,,
y,,Little Fish Brewing Company,Little Fish Brewing Company,Green Bridge IPA,West Coast IPA,6.5%,West Coast IPA,https://untappd.com/b/little-fish-brewing-company-green-bridge-ipa/3929377,Yes,,
y,,Little Fish Brewing Company,Little Fish Brewing Company,Sunfish,Sour Blond Ale ,8.0%,Sour blond ale with Ohio honey,https://untappd.com/b/little-fish-brewing-company-sunfish/1609982,Yes,Bottles Available!,
y,,Little Fish Brewing Company,Little Fish Brewing Company,Batch 664 + Woods,Imperial Stout,14.0%,Bourbon barrrel-aged imperial stout conditioned on palo santo & amburana wood,https://untappd.com/b/little-fish-brewing-company-batch-664-woods/6755138,Yes,,
y,,North End Kitchen & Bar,Rhinegeist Brewery,Bubbles,Hard Craft,5.00%,"Refreshingly effervescent blend of peach, apple, and cranberry",,,,
y,,North End Kitchen & Bar,Rhinegeist Brewery,Truth IPA,IPA,7.20%,"Brewed with a nod to the Pacific, tropical fruit aroma, grapefruit and mango",,,,
y,,North End Kitchen & Bar,Rhinegeist Brewery,House Cat,Pilsner,5.20%,"Swift in body and mind, House Cat sprints ever forward. Pure crisp, clean",,,,
y,,North End Kitchen & Bar,Rhinegeist Brewery,Grapefruit Bubbles,Hard Craft,6.20%,A bright blend of apple and grapefruit that acts as a vacation for your tastebuds,,,,
y,,North End Kitchen & Bar,Rhinegeist Brewery,Juicy Truth,Hazy Imperial IPA,6.50%,"Mouthwatering tropical notes from a generous hop bill. Pineapple, mango, citrus",,,,
y,,North End Kitchen & Bar,Saucy Brew Works,"Love You, Bye",Hazy Imperial IPA,8.00%,Super juicy and permantely hazy,,,,
y,,North End Kitchen & Bar,Market Garden Brewery,Citramax,IPA,7.40%,West Coast IPA dry-hopped w/ citra hops and citrus fruited aromas,,,,
y,,North End Kitchen & Bar,Market Garden Brewery,Shandy,Lemon Shandy,4.50%,Blend of a pale wheat beer and sparkling lemon soda,,,,
y,,OU Inn,Fat Head's Brewery,Benjamin Danklin,Seasonal IPA,7.4%,"Like a lightening bolt of lupulin, this celebratory IPA is loaded with notes of citrus, mango and pine. Available for a limited time! ",,,,
y,,OU Inn,Fat Head's Brewery,Bumble Berry Lemonade Shandy,Blueberry Lemon Shandy,3.0%,A bright twist on everyone's favorite Bumble Berry! ,,,,
y,,Overhang,Seventh Son,Kitty Paw Concord Grape Selzer,Concord Grape Selzer,4.2%,,,,,
y,,Overhang,Seventh Son,Assistant Manager,American Golden Ale,4.5%,,,,,
y,,Overhang,Land Grant,Lemon Glow,Hazy Pale Ale,5.7%,,,,,
y,,Overhang,Land Grant,Low Hanging Cider,Tangerine Cider,5.0%,,,,,
y,,Overhang,Nocterra Brewing Company,Southern Terminus,Mexican Lager,5.0%,,,,,
y,,Overhang,Rhinegeist Brewery,Truth,IPA,7.2%,,,,,
y,,Overhang,Rhinegeist Brewery,Expressionism,Tropical IPA,6.8%,,,,,
y,,Pigskin,Wolf's Ridge Brewing,Buckeye Daybreak,Daybreak infused with Chocolate and Peanut Butter,5.0%,Coffee Cream Ale infused with Chocolate and peanut butter,https://untappd.com/b/wolf-s-ridge-brewing-buckeye-daybreak/5052904,Y,,
y,,Pigskin,Nocterra,Beta-Mosa,New England IPA,6.5%,"Beta-Mosa, a vibrant twist on our flagship Beta Flash, is a mimosa-inspired Hazy IPA brewed with Mosaic, Citra & El Dorado Hops. Layered with juicy Tangerine & Cara Cara Orange, it bursts with citrus & brunch-vibe refreshment!",https://untappd.com/b/nocterra-brewing-co-beta-mosa/6332251,Y,,
y,,Pigskin,Sixth Sense ,Murk Juice,NEIPA-,6.8%,"Mosaic, El Dorado and citra hops give this super hazy NEIPA a juicy, clean finish",,,,
y,,Pigskin,Sixth Sense ,Watermelon Lime Shift Beer,Blonde,5.0%,NEW refreshing watermelon lime golden ale just in time for the summer,,,,
y,,Pigskin,Sixth Sense ,Palo Santo,Aged Scotch Ale,8.6%,"Scotch ale aged on Brazilian Palo Santo Wood",,,,
y,,Pigskin,Nocterra,Sun Scream,Summer Wheat,5.0%,"Bursting with bright, citrus aroma, this summer wheat is a total summer crusher",,,,
Y,,Pigskin,Jackie O's,Ultra Razz,Imperial Wheat Ale,8.0%,,,,,
Y,,Pigskin,Yellow Springs, Familiar Voice,Flanders Red Ale,5.8%,,,,,
Y,,Stephens,Columbus Brewing Co,,,,,,,,
Y,,Stephens,Rhinegeist Brewery,,,,,,,,
Y,,Stephens,Great Lakes Brewing Co.,,,,,,,,
Y,,The CI,50 West,Apple Light,Lager,4.20%,"Light lager layered with vibrant green apple character. Big, bright green apple jumps from the glass with a candy-like aroma,delivering bold flavor up front before finishing clean and dry for an easy-drinking, refreshing pint.",https://untappd.com/b/fifty-west-brewing-company-apple-light/6682390,,On tap all week long,
Y,,The CI,50 West,Juiced Up,Mango Berry Blonde,4.70%,"Layered with vibrant fruit character, this fruited blonde starts  bhy7",,,,
Y,,The CI,50 West,Hearth Fire Mexican Hot Chocolate Stout,Stout,6.30%,"This beer is built around rich chocolate, coffee, and warming spice. Cocoa nibs, lactose, cinnamon, orange peel, and fresh-crushed nutmeg create a silky, dessert-like body, while Deeper Roots Alchemy Espresso layers in deep roasted coffee character. A carefully balanced six-pepper blend adds warmth rather than heat. Brewed on a base on abase of English malts with just a hint of vanilla, the result is spicy, sweet, and complex, with lingering chocolate-coffee depth.",,,,
Y,,The CI,50 West,Lemon Frostie,IPA,6.70%,"This bad boy, originally created in collaboration with our friends at Brewfontaine, is brewed with lactose, Madagascar vanilla beans, lemon purée,lemon zest and Lemondrop hops create a creamy, citrusy flavor reminiscent of a sticky lemon frostier! This brew ain't no lemon, but it's packed to the heckin' lid with 'em",https://untappd.com/b/fifty-west-brewing-company-lemon-frostie/5805399,,,
Y,,The CI,Land Grant,Peak,Pilsner,5.20%,"This Pilsner is brewed with a base of Ohio-grown Pilsner and Vienna malts and hopped throughout the process with American-grown Aleena and German-grown Saphir. Notes of rich,crackers malt are balanced by delicate floral, herbal, and citrus hop aromas with a crisp, snappy finish",,,,
Y,,The CI,Land Grant,Mixed Berry Cider,Cider,5%,"Craft cider featuring blueberry,blackberry, raspberry and strawberry flavors",,,,
y,,The CI,Nocterra,Drift a Bit,Shandy,5%,"Brewed in partnership with Great Ohio Lodges and Ohio State Parks Foundation, Take A Hike is an IPA made for the trailblazer in all of us. Brewed with Citra, Mosaic and Simone hops. It delivers vibrant Burt's of citrus, tropical fruit and stone fruit layered over hints of pine and a crisp balanced bitterness.",https://untappd.com/b/nocterra-brewing-co-take-a-hike/6178456,,,
y,,The CI,Nocterra,Cali Swell,Blackberry and Raspberry Gose,6%,"It's double dry-hopped and packed full of citrus, grapefruit and hints of pineapple. ",https://untappd.com/b/nocterra-brewing-co-beta-flash/2895195,,,
y,,The CI ,50 West,Extra Pickles,Gose,4.50%,"Extra Pickles is a tart, salty, goes-style sour beer brewed with pilsner malt, wheat, coriander, and real pickle brine from the same kitchen pickles we serve on our burgers. Bright, briny, and unmistakably dill, it's crisp pickle punch built for anyone who thinks pickles are no longer just a burger topping.",https://untappd.com/b/fifty-west-brewing-company-extra-pickles/6755370,, This is a rotating tap handle. Check OBW website to see if it's tapped yet.,
y,,The Crystal,Grarage Beer,Classic Lime,Lager,4.0%,"GARAGE BEER LIME IS BEER-FLAVORED BEER WITH A HIT OF LIME. CRISP, EASY-DRINKING BEER, WITH A BRIGHT SQUEEZE OF LIME TO KEEP THINGS EXTRA REFRESHING",,,,
y,,The Crystal,Columbus Brewing Co,Bohdi JR,IPA,4.7%,"Light, crisp, and sessionable, with IPA level aromatics including notes of tropical passionfruit, citrus, and stone fruit. Featuring a blend of Citra®, Cashmere and Dolcita®.",,,,
y,,The Crystal,Columbus Brewing Co,American 250 - OHIO,IPA,5.7%,"In partnership with the bi-partisan America 250 Committee of Ohio, we're proud to brew this limited release IPA to celebrate America's 250th birthday. Pale in color, with a med-low bitterness, Idaho 7® and the American-classic Chinook hops combine for aromas of pineapple, citrus, and pine.",,,,
y,,The Crystal,Columbus Brewing Co,Dank Charmer,Terpene IPA,7.5%,"Deep golden in color and bright. Brewed with a combination of Mosaic®, Strata®, and Abstrax® botanical terpenes. Powerful, dank aromatics followed by notes of citrus and tropical fruit.",,,,
y,,The Crystal,Northern Row,Surfer,Pineapple Hefeweizen,5.2%,"Notes of banana, bubblegum, and clove in a soft wheat body, brightened by juicy pineapple. Light, slightly tart, and clean with a refreshing finish",,,,
y,,The Crystal,Northern Row,Islander,Juicy IPA,6.1%,"Expect aromas of ripening mangos, tangerine peel, a glass of sauv blanc soaking up some rays, and a freshly rolled 'lefty' for good measure. Big tropical energy up front, with juicy orange and apricot flavors riding the wave all the way in.",,,,
y,,The Jbar,Mad Tree Brewing,Rounding Third,Red IPA,6.40%,Slight carmel semi-sweet malt backbone balanced by a strong hop profile,,,,
y,,The Jbar,Mad Tree Brewing,Seeing Colors,Hazy IPA,6.50%,Brewed to maximize all the fruity notes from hops without any of the bitterness,,,,
y,,The Jbar,Mad Tree Brewing,Dreamsicle,Orange and Vanilla Ale,4.80%,"Light body with delicate feel and a mild, balanced flavor",,,,
y,,The Jbar,Seventh Son Brewing Company,Humulus Nimbus,Super Pale Ale,6.00%,Summer friendly golden ale that is both super crisp and hop forward,,,,
y,,The Jbar,Seventh Son Brewing Company,Assistant Manager,Golden Ale,4.50%,Delicate hops and golden malts give way to firm bitterness and a clean finish,,,,
y,,The Jbar,Seventh Son Brewing Company,Kitty Paw Lime Guava,Fruited Seltzer,4.20%,"Refreshing guava with a lime bite that scrubs the palate and makes for a spritzy, clean finish",,,,
y,,The Pub,Brew Dog,Cold Beer,Blueberry Lager,4.5,Crisp and clean balanced lager with blueberry notes,,,,
y,,The Pub,Brew Dog,Baby Hazy,Light IPA,3.2,Crushable light IPA,,,,
y,,The Pub,Combustion,Strawberry Blonde,Blonde Ale,5,"Light, refreshing and slightly malty",,,,
y,,The Pub,Combustion,American IPA,IPA,6.5,Vibrant and tropical,,,,
y,,The Pub,Hoppin Frog ,Turbo Shandy (can),Shandy,7,"Half citrus, half chaos",,,,
y,,The Pub,Jackie O's,Ricky,Lager,4.5,Southeastern Ohio's blue collar beer,,,,
y,,The Pub,Jackie O's,Ultra Razz,Fruited Wheat,8,Razz wheat turned to 11!,,,,
y,,The Pub,Jackie O's,Who Cooks For You (can),Hazy IPA,5.5,Dank and juicy AF,,,,
y,,The Pub,Jackie O's,Mystic Mama (can),West Coast IPA,7,"Grapefruit, resin and pine",,,,
y,,The Pub,Nocterra,Drift a Bit,Shandy,5,"Tart, citrusy and easy drinking",,,,
y,,The Pub,Rhinegeist,Truth IPA (can),IPA,7.2,Mango punch and dry finish,,,,
Y,,The Side Bar,BrewDog,Cold Beer Blueberry,American Light Lager,4.5%,"Crisp, highly crushable and infused with real fruit flavor.",https://untappd.com/search?q=brew+dog+cold+beer+blueberry,,,
Y,,The Side Bar,Land Grant,Hoppy Session,Session,4.0%,"Grapefruit, Stone fruit, Tangerine",n/a,,Yes,"So new, that they don't even know yet"
Y,,The Side Bar,Land Grant,Pool Party,Pilsner - Czech / Bohemian,5.4%,"Summer-centric Pilsner. Crisp, light, and refreshing. Easy-drinking option during hot weather.",https://untappd.com/b/land-grant-brewing-company-pool-party/1665945,,,
Y,,The Side Bar,West End Ciderhouse,Prickly Pear,Modern Cider,6.5%,Dry-to-sweet scale dry,https://untappd.com/b/west-end-ciderhouse-prickly-pear/6337718,,,
Y,,The Side Bar,Fat Heads,Bean Me Up,Imperial Coffee Stout,8.8%,Conditioned on whole bean coffee lending aromas of fresh roasted coffee and dark chocolate. Medium-full body and sweet finish.,https://untappd.com/b/fat-head-s-brewery-bean-me-up-imperial-coffee-stout/75902,,Yes,Excluisive to Side Bar for OBW 26
Y,,The Side Bar,Fat Heads,Head Hunter,India Pale Ale,7.5%,"Agressively dry-hopped, American-Style IPA with a huge hop display of pine, grapefruit, citrus, and pineapple.",https://untappd.com/b/fat-head-s-brewery-head-hunter/11845,,,
Y,,The Side Bar,Devil's Kettle,Helles Awaits,Lager,5.0%,"Light but full flavored, malty lager.",https://untappd.com/b/devil-s-kettle-brewing-helles-awaits/2028826,,,
Y,,The Side Bar,Devil's Kettle,Mc’ginns Irish Stout,Irish Stout,5.5%,Brewed in honor of our late friend Dick McGinn and based off his award winning homebrew recipe,https://untappd.com/b/devil-s-kettle-brewing-mcginn-s/2597696,,,
Y,,The Side Bar,Jackie O's,Firefly Amber Ale,American Amber/Red,4.5%,Lightly roasted malt gives Firefly a biscuit-like finish. Carefully selected hops provide an herbal and mildly citrus aroma and flavor.,https://untappd.com/b/jackie-o-s-brewery-firefly-amber/42630,,,
Y,,The Side Bar,Dafuque Beer Company,Guava Gone Wild,Sour/Fruited Berliner Weisse,10.0%,Spontaniously fermented belgin based fruited with fresh guava puree,https://untappd.com/b/dafuque-beer-company-guava-gone-wild/6624453,,,
Y,,The Side Bar,Dafuque Beer Company,DFQ IPA,American IPA,6.8%,"Classic American IPA, medium body, citrus and pine hop character. Balanced by a clean malt back bone with a crisp finish. ",n/a,,,Just debued June 2026
Y,,The Side Bar,Fat Head's Brewery,Head Hunter ,West Coast IPA ,7.5%,"Award Winning, agrressively dry hopped, west coast style IPA with a huge hop display of pine, grapefruit, citrus, and pineapple. ",,,,
Y,,The Side Bar,Fat Head's Brewery,Bean Me Up ,Imperial Coffee Stout,8.8%,Imperial Stout conditioned on whole bean coffee lending aromas of fresh roasted coffee and dark chocolate with a medium-full body and sweet finish. ,,,,
y,,The Union,Fat Head's Brewery,Bumble Berry Lemonade Shandy,Blueberry Lemon Shandy,3.0%,A bright twist on everyone's favorite Bumble Berry! ,,,,
y,,The Union,Fat Head's Brewery,Lake Erie Pills,"Pilser,. German",5.7%,"Crisp, clean and refreshing German-style lager crafted with German pilsner malt, Noble hops, lager yeast and locally sourced, purified Lake Erie water",https://untappd.com/b/fat-head-s-brewery-lake-erie-pils/4577913,,,
y,,The Union,Fat Head's Brewery,Goggle Fogger,"Hefeweizen, Wheat Beer",5.4%,"Aromas and flavors of wheat, bubblegum, clove and spice swirl",https://untappd.com/b/fat-head-s-brewery-goggle-fogger-hefe-weizen/8091,,,
y,,The Union,Fat Head's Brewery,Head Hunter,American Style IPA,7.5%,"Aware winnning, aggressively dry-hopped, Amelican-Style IPA with huge hop display of pine, grapefruit, citrus anmd pineapple",https://untappd.com/b/fat-head-s-brewery-head-hunter/11845,,,
y,,The Union,Fat Head's Brewery,Benjamin Danklin,American Style IPA,7.4%,"A potent blemd of Citra, Simicoe and other west coast hops, delivering robust notes of citrus, tropical fruit, mango and pine.  Crisp,, dry and a distinctly ""Dank"" finish",https://untappd.com/b/fat-head-s-brewery-benjamin-danklin/1521592,,,
